month,rainfall_2024_mm,baseline_1991_2020_mm,anomaly_pct
1,122.57169025085523,167.3649112300112,-26.125196969803948
2,170.06824265488768,151.3693581348999,11.726343558264848
3,71.58678356140923,98.9674124054338,-28.00531383003511
4,35.486378956255145,39.67914425388552,-11.326951935856057
5,13.974556133664453,16.31303382319163,-14.154821519219675
6,0.7230146435119545,0.6459616717093767,-25.401273126323794
7,0,0.012732879995868831,-98.15702618709196
8,0.5983132893608778,0.030071735133207135,10518.193095497598
9,3.0898919729803707,1.7413087064047055,94.33564167432762
10,15.498720342104528,36.19958565141655,-57.30697886207349
11,63.025457978531016,83.81310529305298,-26.9094086185801
12,174.9180356446049,136.19330180214428,26.610476303880933
