vci_drought_class,class_label,cropland_area_ha
1,Low / no drought stress,67458.03267757376
2,Mild stress,8067.888755177706
3,Moderate stress,5072.174377331488
4,Severe stress,3352.2673673253685
5,Extreme stress,3783.0410833195488
