erosion_runoff_class,class_label,cropland_area_ha
2,Mild erosion/runoff susceptibility,42048.92072783127
3,Moderate erosion/runoff susceptibility,45935.92203204873
4,High erosion/runoff susceptibility,164.87339960937499
5,Very high erosion/runoff susceptibility,0.82592431640625
